"species_name","adoption_date","event_name","event_date","city"
"Cat","2021-10-27","Fall Adoptathon","2021-09-05","Sacramento"
"Bird","2022-06-15","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2023-02-02","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-06-11","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-08-27","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-04-18","Furry Friends Fiesta","2022-03-04","Fresno"
"Lizard","2023-04-27","Furry Friends Fiesta","2023-03-04","San Diego"
"Guinea Pig","2022-03-28","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2020-02-20","Paws for a Cause","2020-01-04","Los Angeles"
"Dog","2023-02-25","Paws for a Cause","2023-01-04","Oakland"
"Cat","2021-02-23","Paws for a Cause","2021-01-04","Fresno"
"Lizard","2022-12-13","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-08-22","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-05-29","Furry Friends Fiesta","2022-03-04","Fresno"
"Guinea Pig","2023-12-03","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2021-04-11","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-05-01","Furry Friends Fiesta","2023-03-04","San Diego"
"Lizard","2023-07-26","Happy Summer Tails","2023-06-06","Los Angeles"
"Guinea Pig","2023-01-02","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-10-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-03-07","Furry Friends Fiesta","2023-03-04","San Diego"
"Bird","2021-04-30","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-04-17","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-08-09","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-11-04","Fall Adoptathon","2023-09-05","Bakersfield"
"Bird","2022-01-05","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2020-11-21","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2023-06-09","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2022-05-26","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2022-05-11","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-12-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-02-02","Paws for a Cause","2023-01-04","Oakland"
"Cat","2021-11-08","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-04-21","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-05-20","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-11-08","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-06-03","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-11-03","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-02-22","Paws for a Cause","2023-01-04","Oakland"
"Cat","2020-11-26","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2021-04-14","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-08-16","Happy Summer Tails","2023-06-06","Los Angeles"
"Hamster","2021-08-30","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2021-12-27","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2022-09-08","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-11-07","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-10-11","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-01-02","Fall Adoptathon","2021-09-05","Sacramento"
"Lizard","2020-12-23","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2021-09-01","Happy Summer Tails","2021-06-06","Long Beach"
"Fish","2022-03-21","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2021-11-28","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2022-10-02","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-04-10","Furry Friends Fiesta","2023-03-04","San Diego"
"Fish","2021-11-08","Fall Adoptathon","2021-09-05","Sacramento"
"Rabbit","2022-06-06","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-11-17","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-05-16","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-03-11","Furry Friends Fiesta","2023-03-04","San Diego"
"Hamster","2023-08-01","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-07-06","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2022-01-26","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2022-11-27","Fall Adoptathon","2022-09-05","Irvine"
"Lizard","2023-12-27","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2023-08-02","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2021-04-27","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Guinea Pig","2022-07-09","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2022-03-18","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-09-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2023-05-09","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2021-07-14","Happy Summer Tails","2021-06-06","Long Beach"
"Cat","2021-12-21","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-01-22","Paws for a Cause","2023-01-04","Oakland"
"Hamster","2022-11-26","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2022-09-20","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-01-18","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2023-04-11","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-12-30","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-02-27","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2022-04-11","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2022-07-11","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2020-05-26","Furry Friends Fiesta","2020-03-04","Sacramento"
"Cat","2021-11-20","Fall Adoptathon","2021-09-05","Sacramento"
"Lizard","2021-11-29","Fall Adoptathon","2021-09-05","Sacramento"
"Bird","2022-01-16","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2022-08-09","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-03-26","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Guinea Pig","2023-05-13","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-02-05","Paws for a Cause","2023-01-04","Oakland"
"Cat","2023-12-30","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-07-08","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2022-12-16","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2021-11-20","Fall Adoptathon","2021-09-05","Sacramento"
"Rabbit","2023-11-10","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-07-04","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-05-10","Furry Friends Fiesta","2023-03-04","San Diego"
"Guinea Pig","2022-02-07","Paws for a Cause","2022-01-04","Los Angeles"
"Lizard","2023-01-26","Paws for a Cause","2023-01-04","Oakland"
"Dog","2022-02-19","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2021-03-31","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Dog","2023-10-28","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-04-19","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Fish","2020-11-14","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2021-10-25","Fall Adoptathon","2021-09-05","Sacramento"
"Fish","2022-11-14","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-09-03","Happy Summer Tails","2022-06-06","Santa Barbara"
"Fish","2023-03-20","Furry Friends Fiesta","2023-03-04","San Diego"
"Fish","2021-12-23","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-02-25","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-05-13","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-11-20","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-07-11","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-12-31","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-04-26","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-05-23","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Dog","2021-01-11","Paws for a Cause","2021-01-04","Fresno"
"Dog","2022-08-10","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2020-02-06","Paws for a Cause","2020-01-04","Los Angeles"
"Guinea Pig","2021-12-22","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-03-22","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-11-23","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2020-12-26","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2023-06-18","Happy Summer Tails","2023-06-06","Los Angeles"
"Snake","2022-10-09","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-09-10","Fall Adoptathon","2023-09-05","Bakersfield"
"Parrot","2023-10-09","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-19","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-09-29","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-06-03","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2021-06-30","Happy Summer Tails","2021-06-06","Long Beach"
"Snake","2023-07-07","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-12-09","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-10-15","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-06-03","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-05-23","Furry Friends Fiesta","2023-03-04","San Diego"
"Fish","2023-10-13","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-04-20","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-09-25","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2022-07-23","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2023-02-21","Paws for a Cause","2023-01-04","Oakland"
"Guinea Pig","2023-08-29","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-03-09","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-01-06","Paws for a Cause","2021-01-04","Fresno"
"Dog","2022-05-05","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2022-02-02","Paws for a Cause","2022-01-04","Los Angeles"
"Guinea Pig","2020-04-26","Furry Friends Fiesta","2020-03-04","Sacramento"
"Cat","2023-04-11","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2020-12-21","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2020-09-08","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2020-11-22","Fall Adoptathon","2020-09-05","San Diego"
"Hamster","2023-03-29","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-06-19","Happy Summer Tails","2023-06-06","Los Angeles"
"Snake","2022-04-07","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-11-29","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-09-15","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-03-04","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Dog","2022-10-27","Fall Adoptathon","2022-09-05","Irvine"
"Lizard","2022-07-15","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-11-07","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2022-06-14","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2023-07-07","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-08-13","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2021-11-22","Fall Adoptathon","2021-09-05","Sacramento"
"Lizard","2023-05-07","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-09-25","Fall Adoptathon","2023-09-05","Bakersfield"
"Fish","2021-11-18","Fall Adoptathon","2021-09-05","Sacramento"
"Rabbit","2021-12-26","Fall Adoptathon","2021-09-05","Sacramento"
"Hamster","2022-10-26","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-01-28","Paws for a Cause","2023-01-04","Oakland"
"Cat","2020-04-15","Furry Friends Fiesta","2020-03-04","Sacramento"
"Guinea Pig","2023-10-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-12-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-12-29","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-12-04","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-11-24","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-11-18","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2020-11-29","Fall Adoptathon","2020-09-05","San Diego"
"Guinea Pig","2020-01-04","Paws for a Cause","2020-01-04","Los Angeles"
"Lizard","2020-10-24","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2023-04-02","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-01-02","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2022-06-30","Happy Summer Tails","2022-06-06","Santa Barbara"
"Fish","2023-10-05","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-12-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-11-22","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-09-23","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-09-26","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-05-01","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-05-28","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-07-16","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2020-05-25","Furry Friends Fiesta","2020-03-04","Sacramento"
"Dog","2021-11-20","Fall Adoptathon","2021-09-05","Sacramento"
"Bird","2023-09-05","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-03-14","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Hamster","2023-06-13","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2020-12-30","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2022-02-11","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2022-10-09","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-11-18","Fall Adoptathon","2023-09-05","Bakersfield"
"Turtle","2022-04-12","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-11-19","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2020-02-21","Paws for a Cause","2020-01-04","Los Angeles"
"Dog","2023-01-01","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2020-07-26","Happy Summer Tails","2020-06-06","San Francisco"
"Lizard","2023-06-11","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-02-24","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-11-05","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-10-12","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2021-01-10","Paws for a Cause","2021-01-04","Fresno"
"Snake","2021-05-06","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Dog","2022-04-30","Furry Friends Fiesta","2022-03-04","Fresno"
"Lizard","2023-03-20","Furry Friends Fiesta","2023-03-04","San Diego"
"Snake","2023-12-13","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-08-12","Happy Summer Tails","2022-06-06","Santa Barbara"
"Hamster","2022-07-25","Happy Summer Tails","2022-06-06","Santa Barbara"
"Lizard","2020-12-09","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2023-02-22","Paws for a Cause","2023-01-04","Oakland"
"Dog","2022-01-05","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2021-11-22","Fall Adoptathon","2021-09-05","Sacramento"
"Rabbit","2023-11-10","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2021-07-03","Happy Summer Tails","2021-06-06","Long Beach"
"Rabbit","2022-02-18","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2023-12-13","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-01-05","Paws for a Cause","2023-01-04","Oakland"
"Cat","2023-12-07","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-01-15","Paws for a Cause","2021-01-04","Fresno"
"Lizard","2020-12-26","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2023-07-14","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-06-25","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2023-07-01","Happy Summer Tails","2023-06-06","Los Angeles"
"Bird","2023-10-13","Fall Adoptathon","2023-09-05","Bakersfield"
"Guinea Pig","2022-07-11","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2022-10-07","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2022-05-27","Furry Friends Fiesta","2022-03-04","Fresno"
"Snake","2023-02-22","Paws for a Cause","2023-01-04","Oakland"
"Dog","2021-10-18","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2022-06-04","Furry Friends Fiesta","2022-03-04","Fresno"
"Fish","2023-12-25","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-07-26","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2022-06-08","Happy Summer Tails","2022-06-06","Santa Barbara"
"Bird","2023-11-08","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-10-25","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2022-07-03","Happy Summer Tails","2022-06-06","Santa Barbara"
"Guinea Pig","2022-10-27","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-07-17","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-10-31","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-03-10","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-05-13","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2023-01-03","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-06-29","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-12-30","Fall Adoptathon","2021-09-05","Sacramento"
"Guinea Pig","2023-04-03","Furry Friends Fiesta","2023-03-04","San Diego"
"Lizard","2023-03-25","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-02-01","Paws for a Cause","2022-01-04","Los Angeles"
"Lizard","2023-03-09","Furry Friends Fiesta","2023-03-04","San Diego"
"Snake","2020-04-18","Furry Friends Fiesta","2020-03-04","Sacramento"
"Cat","2023-10-03","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2020-12-27","Fall Adoptathon","2020-09-05","San Diego"
"Guinea Pig","2023-03-20","Furry Friends Fiesta","2023-03-04","San Diego"
"Guinea Pig","2022-08-18","Happy Summer Tails","2022-06-06","Santa Barbara"
"Guinea Pig","2023-07-27","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-05-05","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-05-12","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-09-07","Fall Adoptathon","2023-09-05","Bakersfield"
