"species_name","adoption_date","event_name","event_date","city"
"Cat","2023-09-27","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2021-11-25","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2020-03-16","Furry Friends Fiesta","2020-03-04","Sacramento"
"Cat","2020-11-07","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2021-07-15","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2022-05-26","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2020-06-10","Happy Summer Tails","2020-06-06","San Francisco"
"Cat","2023-11-24","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-12-20","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-06-23","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-06-13","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2020-10-19","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2023-05-16","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2020-08-08","Happy Summer Tails","2020-06-06","San Francisco"
"Dog","2022-04-26","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-07-30","Happy Summer Tails","2021-06-06","Long Beach"
"Rabbit","2022-05-28","Furry Friends Fiesta","2022-03-04","Fresno"
"Hamster","2023-08-23","Happy Summer Tails","2023-06-06","Los Angeles"
"Hamster","2022-08-02","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2022-12-16","Fall Adoptathon","2022-09-05","Irvine"
"Hamster","2023-11-27","Fall Adoptathon","2023-09-05","Bakersfield"
"Snake","2022-11-05","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-07-15","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-06-08","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-05-20","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2022-02-05","Paws for a Cause","2022-01-04","Los Angeles"
"Rabbit","2023-08-20","Happy Summer Tails","2023-06-06","Los Angeles"
"Guinea Pig","2023-08-28","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2020-09-02","Happy Summer Tails","2020-06-06","San Francisco"
"Dog","2022-07-26","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-12-05","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2022-12-16","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-10-29","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-11-08","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-01-19","Paws for a Cause","2022-01-04","Los Angeles"
"Snake","2021-05-15","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Bird","2023-06-12","Happy Summer Tails","2023-06-06","Los Angeles"
"Hamster","2021-11-21","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2022-10-15","Fall Adoptathon","2022-09-05","Irvine"
"Lizard","2021-07-16","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2023-10-15","Fall Adoptathon","2023-09-05","Bakersfield"
"Guinea Pig","2023-03-18","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2021-02-03","Paws for a Cause","2021-01-04","Fresno"
"Cat","2022-08-16","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2023-12-14","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-10-30","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-01-13","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2020-06-12","Happy Summer Tails","2020-06-06","San Francisco"
"Dog","2020-05-27","Furry Friends Fiesta","2020-03-04","Sacramento"
"Hamster","2022-05-17","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2021-08-14","Happy Summer Tails","2021-06-06","Long Beach"
"Rabbit","2022-08-07","Happy Summer Tails","2022-06-06","Santa Barbara"
"Hamster","2023-11-30","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-11-13","Fall Adoptathon","2022-09-05","Irvine"
"Rabbit","2023-02-05","Paws for a Cause","2023-01-04","Oakland"
"Guinea Pig","2022-03-01","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2023-01-20","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-11-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-10-23","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-01-25","Paws for a Cause","2023-01-04","Oakland"
"Cat","2023-12-29","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-08-16","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2022-07-26","Happy Summer Tails","2022-06-06","Santa Barbara"
"Snake","2023-12-14","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-12-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-22","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-21","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-04-14","Furry Friends Fiesta","2022-03-04","Fresno"
"Guinea Pig","2023-01-29","Paws for a Cause","2023-01-04","Oakland"
"Dog","2022-06-14","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2023-06-20","Happy Summer Tails","2023-06-06","Los Angeles"
"Fish","2020-08-13","Happy Summer Tails","2020-06-06","San Francisco"
"Cat","2022-12-16","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-07-20","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-11-23","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-02-03","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2023-08-03","Happy Summer Tails","2023-06-06","Los Angeles"
"Hamster","2023-06-18","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2022-11-29","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2023-07-09","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2020-10-06","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2022-08-08","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2023-04-27","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2021-03-08","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2020-12-27","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2020-10-14","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2022-10-06","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2021-12-26","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-11-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-06-24","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2021-11-01","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2022-03-21","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-12-06","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-29","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2022-12-12","Fall Adoptathon","2022-09-05","Irvine"
"Guinea Pig","2023-04-18","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2021-09-30","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-05-03","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-10-01","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-11-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-06-20","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2023-09-20","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-07-07","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2021-04-10","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Bird","2022-03-27","Furry Friends Fiesta","2022-03-04","Fresno"
"Hamster","2022-12-08","Fall Adoptathon","2022-09-05","Irvine"
"Lizard","2023-07-03","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-11-15","Fall Adoptathon","2021-09-05","Sacramento"
"Rabbit","2022-05-24","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-12-29","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-11-22","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-12-22","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-01-23","Paws for a Cause","2023-01-04","Oakland"
"Cat","2023-11-12","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-12-31","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-10-17","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-11","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-02-19","Paws for a Cause","2022-01-04","Los Angeles"
"Dog","2023-12-23","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2022-09-04","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2023-04-12","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-12-30","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2020-02-19","Paws for a Cause","2020-01-04","Los Angeles"
"Dog","2023-05-28","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2021-09-16","Fall Adoptathon","2021-09-05","Sacramento"
"Cat","2023-09-05","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-04-29","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-02-17","Paws for a Cause","2022-01-04","Los Angeles"
"Snake","2023-10-13","Fall Adoptathon","2023-09-05","Bakersfield"
"Guinea Pig","2023-11-28","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2021-12-14","Fall Adoptathon","2021-09-05","Sacramento"
"Hamster","2023-03-19","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-11-27","Fall Adoptathon","2022-09-05","Irvine"
"Guinea Pig","2020-10-07","Fall Adoptathon","2020-09-05","San Diego"
"Guinea Pig","2023-05-09","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-01-01","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-11-21","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-10-28","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-02-12","Paws for a Cause","2023-01-04","Oakland"
"Rabbit","2021-03-15","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-01-10","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-10-09","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2020-10-16","Fall Adoptathon","2020-09-05","San Diego"
"Guinea Pig","2023-02-27","Paws for a Cause","2023-01-04","Oakland"
"Cat","2022-11-25","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-05-24","Furry Friends Fiesta","2022-03-04","Fresno"
"Rabbit","2022-12-03","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-12-24","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-11-21","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-09-02","Happy Summer Tails","2023-06-06","Los Angeles"
"Fish","2021-10-23","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2020-09-07","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2023-07-15","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-02-19","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-05-27","Furry Friends Fiesta","2023-03-04","San Diego"
"Bird","2022-12-21","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2022-03-07","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-03-21","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-03-06","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2021-10-06","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-11-10","Fall Adoptathon","2023-09-05","Bakersfield"
"Bird","2023-07-12","Happy Summer Tails","2023-06-06","Los Angeles"
"Lizard","2023-06-13","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-10-09","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-08-07","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-01-19","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-01-29","Paws for a Cause","2023-01-04","Oakland"
"Dog","2021-11-16","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2022-04-20","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-10-03","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-01-22","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-08-07","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-10-07","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2022-11-21","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2021-02-20","Paws for a Cause","2021-01-04","Fresno"
"Dog","2020-11-18","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2023-06-24","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-10-14","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-10-01","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2020-11-22","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2021-10-27","Fall Adoptathon","2021-09-05","Sacramento"
"Hamster","2023-10-10","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2022-03-12","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-12-09","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2020-10-09","Fall Adoptathon","2020-09-05","San Diego"
"Fish","2022-03-06","Furry Friends Fiesta","2022-03-04","Fresno"
"Hamster","2020-05-28","Furry Friends Fiesta","2020-03-04","Sacramento"
"Cat","2023-10-24","Fall Adoptathon","2023-09-05","Bakersfield"
"Snake","2023-02-02","Paws for a Cause","2023-01-04","Oakland"
"Dog","2022-07-21","Happy Summer Tails","2022-06-06","Santa Barbara"
"Dog","2023-10-24","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-04-11","Furry Friends Fiesta","2023-03-04","San Diego"
"Bird","2023-02-21","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-09-02","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2021-12-12","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2021-03-09","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2021-07-20","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2023-08-10","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-06-16","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-04-24","Furry Friends Fiesta","2023-03-04","San Diego"
"Hamster","2023-03-02","Paws for a Cause","2023-01-04","Oakland"
"Fish","2021-01-07","Paws for a Cause","2021-01-04","Fresno"
"Hamster","2022-12-07","Fall Adoptathon","2022-09-05","Irvine"
"Dog","2021-08-15","Happy Summer Tails","2021-06-06","Long Beach"
"Cat","2022-02-23","Paws for a Cause","2022-01-04","Los Angeles"
"Fish","2022-08-24","Happy Summer Tails","2022-06-06","Santa Barbara"
"Hamster","2022-08-31","Happy Summer Tails","2022-06-06","Santa Barbara"
"Guinea Pig","2021-08-26","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2023-12-25","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2023-05-08","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2022-06-02","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2020-03-20","Furry Friends Fiesta","2020-03-04","Sacramento"
"Dog","2021-09-25","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-11-18","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-11-09","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2022-10-20","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2020-12-30","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2022-04-28","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-10-08","Fall Adoptathon","2023-09-05","Bakersfield"
"Lizard","2023-10-11","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-06-07","Happy Summer Tails","2023-06-06","Los Angeles"
"Lizard","2021-06-09","Happy Summer Tails","2021-06-06","Long Beach"
"Dog","2022-03-29","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2022-04-06","Furry Friends Fiesta","2022-03-04","Fresno"
"Bird","2023-06-22","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-05-19","Furry Friends Fiesta","2023-03-04","San Diego"
"Rabbit","2020-08-07","Happy Summer Tails","2020-06-06","San Francisco"
"Dog","2023-08-16","Happy Summer Tails","2023-06-06","Los Angeles"
"Parrot","2022-05-29","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-11-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-11-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Hamster","2023-10-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Rabbit","2020-12-28","Fall Adoptathon","2020-09-05","San Diego"
"Guinea Pig","2022-11-23","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-06-18","Happy Summer Tails","2023-06-06","Los Angeles"
"Rabbit","2023-07-02","Happy Summer Tails","2023-06-06","Los Angeles"
"Rabbit","2023-03-15","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2022-03-11","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2022-10-13","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-12-08","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2020-11-08","Fall Adoptathon","2020-09-05","San Diego"
"Dog","2022-02-17","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2023-06-23","Happy Summer Tails","2023-06-06","Los Angeles"
"Hamster","2023-12-23","Fall Adoptathon","2023-09-05","Bakersfield"
"Snake","2022-09-02","Happy Summer Tails","2022-06-06","Santa Barbara"
"Snake","2021-12-05","Fall Adoptathon","2021-09-05","Sacramento"
"Guinea Pig","2023-05-05","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2022-07-30","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2020-03-10","Furry Friends Fiesta","2020-03-04","Sacramento"
"Dog","2023-12-28","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-06-20","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2023-04-06","Furry Friends Fiesta","2023-03-04","San Diego"
"Dog","2021-11-02","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-08-05","Happy Summer Tails","2023-06-06","Los Angeles"
"Fish","2023-03-16","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2021-09-18","Fall Adoptathon","2021-09-05","Sacramento"
"Dog","2023-03-18","Furry Friends Fiesta","2023-03-04","San Diego"
"Hamster","2022-10-10","Fall Adoptathon","2022-09-05","Irvine"
"Hamster","2023-01-14","Paws for a Cause","2023-01-04","Oakland"
"Snake","2022-05-18","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2023-12-12","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-12-18","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-08-13","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-09-27","Fall Adoptathon","2023-09-05","Bakersfield"
"Guinea Pig","2021-07-01","Happy Summer Tails","2021-06-06","Long Beach"
