"adoption_id","adoption_date","adoption_event_id","adoption_event_status"
1,"2021-10-27",8,"With Adoption Event"
2,"2021-09-30","","Without Adoption Event"
3,"2021-04-12","","Without Adoption Event"
4,"2023-11-01","","Without Adoption Event"
5,"2020-03-09","","Without Adoption Event"
6,"2022-06-15",11,"With Adoption Event"
7,"2021-02-18","","Without Adoption Event"
8,"2023-08-20","","Without Adoption Event"
9,"2022-11-24","","Without Adoption Event"
10,"2019-05-28","","Without Adoption Event"
11,"2023-02-02",13,"With Adoption Event"
12,"2022-07-08","","Without Adoption Event"
13,"2023-06-11",15,"With Adoption Event"
14,"2023-11-14","","Without Adoption Event"
15,"2023-09-09","","Without Adoption Event"
16,"2022-05-26","","Without Adoption Event"
17,"2019-12-18","","Without Adoption Event"
18,"2023-08-27",15,"With Adoption Event"
19,"2023-08-31","","Without Adoption Event"
20,"2022-04-18",10,"With Adoption Event"
21,"2023-04-27",14,"With Adoption Event"
22,"2021-11-17","","Without Adoption Event"
23,"2023-12-18","","Without Adoption Event"
24,"2021-07-23","","Without Adoption Event"
25,"2023-02-10","","Without Adoption Event"
26,"2022-11-29","","Without Adoption Event"
27,"2022-05-13","","Without Adoption Event"
28,"2022-09-10","","Without Adoption Event"
29,"2022-03-28",10,"With Adoption Event"
30,"2022-07-11","","Without Adoption Event"
31,"2023-09-11","","Without Adoption Event"
32,"2020-02-20",1,"With Adoption Event"
33,"2022-06-01","","Without Adoption Event"
34,"2023-10-28","","Without Adoption Event"
35,"2023-12-31","","Without Adoption Event"
36,"2022-12-09","","Without Adoption Event"
37,"2022-06-12","","Without Adoption Event"
38,"2022-03-26","","Without Adoption Event"
39,"2021-10-20","","Without Adoption Event"
40,"2022-01-20","","Without Adoption Event"
41,"2023-03-26","","Without Adoption Event"
42,"2023-03-05","","Without Adoption Event"
43,"2023-02-25",13,"With Adoption Event"
44,"2021-02-23",5,"With Adoption Event"
45,"2022-12-13",12,"With Adoption Event"
46,"2023-08-22",15,"With Adoption Event"
47,"2022-05-29",10,"With Adoption Event"
48,"2023-06-20","","Without Adoption Event"
49,"2023-10-03","","Without Adoption Event"
50,"2021-01-17","","Without Adoption Event"
51,"2023-05-16","","Without Adoption Event"
52,"2023-05-17","","Without Adoption Event"
53,"2021-05-08","","Without Adoption Event"
54,"2023-12-03",16,"With Adoption Event"
55,"2019-11-26","","Without Adoption Event"
56,"2023-08-05","","Without Adoption Event"
57,"2022-07-17","","Without Adoption Event"
58,"2019-11-02","","Without Adoption Event"
59,"2021-04-11",6,"With Adoption Event"
60,"2023-05-01",14,"With Adoption Event"
61,"2020-08-24","","Without Adoption Event"
62,"2020-09-29","","Without Adoption Event"
63,"2023-07-26",15,"With Adoption Event"
64,"2023-10-25","","Without Adoption Event"
65,"2023-08-23","","Without Adoption Event"
66,"2023-01-02",12,"With Adoption Event"
67,"2023-07-14","","Without Adoption Event"
68,"2023-05-10","","Without Adoption Event"
69,"2023-10-26",16,"With Adoption Event"
70,"2022-03-13","","Without Adoption Event"
71,"2023-10-20","","Without Adoption Event"
72,"2023-02-22","","Without Adoption Event"
73,"2022-09-24","","Without Adoption Event"
74,"2020-01-21","","Without Adoption Event"
75,"2021-01-11","","Without Adoption Event"
76,"2023-04-11","","Without Adoption Event"
77,"2023-09-24","","Without Adoption Event"
78,"2023-03-07",14,"With Adoption Event"
79,"2022-06-25","","Without Adoption Event"
80,"2022-04-04","","Without Adoption Event"
81,"2020-12-13","","Without Adoption Event"
82,"2022-01-31","","Without Adoption Event"
83,"2021-10-02","","Without Adoption Event"
84,"2023-08-16","","Without Adoption Event"
85,"2021-04-30",6,"With Adoption Event"
86,"2023-04-17",14,"With Adoption Event"
87,"2023-08-09",15,"With Adoption Event"
88,"2022-11-23","","Without Adoption Event"
89,"2022-06-01","","Without Adoption Event"
90,"2023-11-04",16,"With Adoption Event"
91,"2022-01-05",9,"With Adoption Event"
92,"2020-11-21",4,"With Adoption Event"
93,"2023-12-07","","Without Adoption Event"
94,"2023-06-09",15,"With Adoption Event"
95,"2022-05-26",10,"With Adoption Event"
96,"2022-05-11",10,"With Adoption Event"
97,"2023-12-03","","Without Adoption Event"
98,"2022-08-01","","Without Adoption Event"
99,"2023-12-02",16,"With Adoption Event"
100,"2023-01-07","","Without Adoption Event"
101,"2020-12-17","","Without Adoption Event"
102,"2021-02-10","","Without Adoption Event"
103,"2023-09-29","","Without Adoption Event"
104,"2023-02-02",13,"With Adoption Event"
105,"2023-05-10","","Without Adoption Event"
106,"2019-12-30","","Without Adoption Event"
107,"2021-11-08",8,"With Adoption Event"
108,"2020-07-06","","Without Adoption Event"
109,"2023-12-27","","Without Adoption Event"
110,"2019-11-03","","Without Adoption Event"
111,"2023-08-11","","Without Adoption Event"
112,"2023-04-21",14,"With Adoption Event"
113,"2023-05-20",14,"With Adoption Event"
114,"2023-03-01","","Without Adoption Event"
115,"2023-11-08",16,"With Adoption Event"
116,"2023-06-03",14,"With Adoption Event"
117,"2023-05-01","","Without Adoption Event"
118,"2023-11-03",16,"With Adoption Event"
119,"2023-02-22",13,"With Adoption Event"
120,"2020-02-24","","Without Adoption Event"
121,"2022-06-20","","Without Adoption Event"
122,"2022-10-20","","Without Adoption Event"
123,"2020-11-26",4,"With Adoption Event"
124,"2021-06-26","","Without Adoption Event"
125,"2022-12-28","","Without Adoption Event"
126,"2022-11-24","","Without Adoption Event"
127,"2022-10-15","","Without Adoption Event"
128,"2022-04-10","","Without Adoption Event"
129,"2021-04-14",6,"With Adoption Event"
130,"2018-11-09","","Without Adoption Event"
131,"2023-05-24","","Without Adoption Event"
132,"2023-08-16",15,"With Adoption Event"
133,"2021-08-30",7,"With Adoption Event"
134,"2019-05-17","","Without Adoption Event"
135,"2021-12-27",8,"With Adoption Event"
136,"2023-09-07","","Without Adoption Event"
137,"2022-09-08",12,"With Adoption Event"
138,"2023-12-17","","Without Adoption Event"
139,"2023-07-23","","Without Adoption Event"
140,"2022-10-05","","Without Adoption Event"
141,"2021-12-29","","Without Adoption Event"
142,"2021-06-05","","Without Adoption Event"
143,"2023-09-10","","Without Adoption Event"
144,"2023-02-27","","Without Adoption Event"
145,"2023-09-14","","Without Adoption Event"
146,"2022-09-05","","Without Adoption Event"
147,"2021-02-25","","Without Adoption Event"
148,"2023-09-16","","Without Adoption Event"
149,"2023-11-07",16,"With Adoption Event"
150,"2023-03-26","","Without Adoption Event"
151,"2023-08-11","","Without Adoption Event"
152,"2023-10-11",16,"With Adoption Event"
153,"2022-01-02",8,"With Adoption Event"
154,"2021-08-21","","Without Adoption Event"
155,"2023-05-18","","Without Adoption Event"
156,"2022-11-02","","Without Adoption Event"
157,"2019-05-10","","Without Adoption Event"
158,"2022-12-09","","Without Adoption Event"
159,"2022-07-13","","Without Adoption Event"
160,"2020-12-23",4,"With Adoption Event"
161,"2022-10-11","","Without Adoption Event"
162,"2022-12-12","","Without Adoption Event"
163,"2020-07-21","","Without Adoption Event"
164,"2021-01-16","","Without Adoption Event"
165,"2023-06-23","","Without Adoption Event"
166,"2023-10-08","","Without Adoption Event"
167,"2021-09-01",7,"With Adoption Event"
168,"2022-12-04","","Without Adoption Event"
169,"2022-03-21",10,"With Adoption Event"
170,"2022-10-09","","Without Adoption Event"
171,"2020-05-22","","Without Adoption Event"
172,"2021-11-28",8,"With Adoption Event"
173,"2023-10-23","","Without Adoption Event"
174,"2020-08-18","","Without Adoption Event"
175,"2019-11-20","","Without Adoption Event"
176,"2022-10-02",12,"With Adoption Event"
177,"2023-04-10",14,"With Adoption Event"
178,"2021-11-08",8,"With Adoption Event"
179,"2022-06-06",11,"With Adoption Event"
180,"2021-11-17",8,"With Adoption Event"
181,"2023-09-28","","Without Adoption Event"
182,"2023-10-27","","Without Adoption Event"
183,"2023-09-26","","Without Adoption Event"
184,"2023-07-06","","Without Adoption Event"
185,"2023-12-13","","Without Adoption Event"
186,"2022-07-11","","Without Adoption Event"
187,"2020-09-20","","Without Adoption Event"
188,"2022-07-21","","Without Adoption Event"
189,"2021-05-26","","Without Adoption Event"
190,"2023-11-14","","Without Adoption Event"
191,"2021-10-19","","Without Adoption Event"
192,"2023-12-29","","Without Adoption Event"
193,"2018-12-18","","Without Adoption Event"
194,"2022-09-24","","Without Adoption Event"
195,"2023-09-25","","Without Adoption Event"
196,"2023-05-16",14,"With Adoption Event"
197,"2023-11-06","","Without Adoption Event"
198,"2023-10-31","","Without Adoption Event"
199,"2022-09-20","","Without Adoption Event"
200,"2021-09-19","","Without Adoption Event"
201,"2023-03-11",14,"With Adoption Event"
202,"2023-08-01",15,"With Adoption Event"
203,"2021-07-06",7,"With Adoption Event"
204,"2022-01-26",9,"With Adoption Event"
205,"2022-11-27",12,"With Adoption Event"
206,"2023-10-03","","Without Adoption Event"
207,"2023-09-29","","Without Adoption Event"
208,"2021-11-23","","Without Adoption Event"
209,"2023-10-29","","Without Adoption Event"
210,"2023-03-09","","Without Adoption Event"
211,"2020-04-17","","Without Adoption Event"
212,"2019-12-15","","Without Adoption Event"
213,"2023-12-27",16,"With Adoption Event"
214,"2022-05-21","","Without Adoption Event"
215,"2023-05-10","","Without Adoption Event"
216,"2023-08-02",15,"With Adoption Event"
217,"2020-10-29","","Without Adoption Event"
218,"2022-08-14","","Without Adoption Event"
219,"2023-05-30","","Without Adoption Event"
220,"2022-08-23","","Without Adoption Event"
221,"2023-01-28","","Without Adoption Event"
222,"2022-08-04","","Without Adoption Event"
223,"2021-04-27",6,"With Adoption Event"
224,"2022-07-09",11,"With Adoption Event"
225,"2023-04-30","","Without Adoption Event"
226,"2023-12-05","","Without Adoption Event"
227,"2023-05-05","","Without Adoption Event"
228,"2022-05-04","","Without Adoption Event"
229,"2022-03-18",10,"With Adoption Event"
230,"2023-02-08","","Without Adoption Event"
231,"2023-11-19","","Without Adoption Event"
232,"2022-02-03","","Without Adoption Event"
233,"2023-09-26",16,"With Adoption Event"
234,"2022-05-19","","Without Adoption Event"
235,"2023-05-09",14,"With Adoption Event"
236,"2021-07-14",7,"With Adoption Event"
237,"2021-12-21",8,"With Adoption Event"
238,"2022-11-22","","Without Adoption Event"
239,"2018-02-28","","Without Adoption Event"
240,"2023-01-22",13,"With Adoption Event"
241,"2019-09-29","","Without Adoption Event"
242,"2022-10-29","","Without Adoption Event"
243,"2021-01-20","","Without Adoption Event"
244,"2023-06-17","","Without Adoption Event"
245,"2019-12-03","","Without Adoption Event"
246,"2020-07-09","","Without Adoption Event"
247,"2022-01-17","","Without Adoption Event"
248,"2023-04-28","","Without Adoption Event"
249,"2023-04-12","","Without Adoption Event"
250,"2022-11-26",12,"With Adoption Event"
251,"2022-09-20",12,"With Adoption Event"
252,"2022-01-18",9,"With Adoption Event"
253,"2021-04-23","","Without Adoption Event"
254,"2023-04-11",14,"With Adoption Event"
255,"2022-06-21","","Without Adoption Event"
256,"2017-12-25","","Without Adoption Event"
257,"2023-09-20","","Without Adoption Event"
258,"2022-11-15","","Without Adoption Event"
259,"2019-01-17","","Without Adoption Event"
260,"2022-12-30",12,"With Adoption Event"
261,"2023-08-14","","Without Adoption Event"
262,"2023-07-12","","Without Adoption Event"
263,"2023-12-31","","Without Adoption Event"
264,"2022-11-18","","Without Adoption Event"
265,"2022-02-27",9,"With Adoption Event"
266,"2020-05-14","","Without Adoption Event"
267,"2023-04-07","","Without Adoption Event"
268,"2022-04-11",10,"With Adoption Event"
269,"2022-07-11",11,"With Adoption Event"
270,"2020-05-26",2,"With Adoption Event"
271,"2022-01-27","","Without Adoption Event"
272,"2022-06-22","","Without Adoption Event"
273,"2021-11-20",8,"With Adoption Event"
274,"2021-04-19","","Without Adoption Event"
275,"2021-11-29",8,"With Adoption Event"
276,"2022-03-18","","Without Adoption Event"
277,"2022-01-16",9,"With Adoption Event"
278,"2018-10-14","","Without Adoption Event"
279,"2020-09-14","","Without Adoption Event"
280,"2019-12-12","","Without Adoption Event"
281,"2022-08-09",11,"With Adoption Event"
282,"2023-01-28","","Without Adoption Event"
283,"2023-12-26","","Without Adoption Event"
284,"2023-12-27","","Without Adoption Event"
285,"2021-03-26",6,"With Adoption Event"
286,"2023-09-18","","Without Adoption Event"
287,"2023-09-13","","Without Adoption Event"
288,"2023-12-12","","Without Adoption Event"
289,"2023-05-13",14,"With Adoption Event"
290,"2023-02-05",13,"With Adoption Event"
291,"2022-06-20","","Without Adoption Event"
292,"2023-12-30",16,"With Adoption Event"
293,"2023-01-23","","Without Adoption Event"
294,"2019-11-05","","Without Adoption Event"
295,"2023-07-08",15,"With Adoption Event"
296,"2021-08-27","","Without Adoption Event"
297,"2023-12-05","","Without Adoption Event"
298,"2022-12-16",12,"With Adoption Event"
299,"2022-05-28","","Without Adoption Event"
300,"2023-10-23","","Without Adoption Event"
301,"2021-11-20",8,"With Adoption Event"
302,"2023-11-10",16,"With Adoption Event"
303,"2023-10-11","","Without Adoption Event"
304,"2023-05-27","","Without Adoption Event"
305,"2021-08-28","","Without Adoption Event"
306,"2021-11-20","","Without Adoption Event"
307,"2023-09-13","","Without Adoption Event"
308,"2023-12-03","","Without Adoption Event"
309,"2020-04-09","","Without Adoption Event"
310,"2022-10-08","","Without Adoption Event"
311,"2023-07-04",15,"With Adoption Event"
312,"2023-05-10",14,"With Adoption Event"
313,"2023-12-16","","Without Adoption Event"
314,"2023-02-10","","Without Adoption Event"
315,"2021-02-22","","Without Adoption Event"
316,"2022-02-07",9,"With Adoption Event"
317,"2023-01-26",13,"With Adoption Event"
318,"2023-10-03","","Without Adoption Event"
319,"2022-02-19",9,"With Adoption Event"
320,"2022-02-07","","Without Adoption Event"
321,"2019-12-28","","Without Adoption Event"
322,"2023-09-09","","Without Adoption Event"
323,"2021-03-31",6,"With Adoption Event"
324,"2023-10-28",16,"With Adoption Event"
325,"2022-06-10","","Without Adoption Event"
326,"2021-04-19",6,"With Adoption Event"
327,"2020-04-11","","Without Adoption Event"
328,"2020-11-14",4,"With Adoption Event"
329,"2021-10-25",8,"With Adoption Event"
330,"2021-10-27","","Without Adoption Event"
331,"2022-11-14",12,"With Adoption Event"
332,"2023-06-16","","Without Adoption Event"
333,"2022-04-27","","Without Adoption Event"
334,"2020-08-06","","Without Adoption Event"
335,"2018-11-01","","Without Adoption Event"
336,"2023-08-07","","Without Adoption Event"
337,"2023-01-06","","Without Adoption Event"
338,"2022-09-03",11,"With Adoption Event"
339,"2023-03-20",14,"With Adoption Event"
340,"2023-03-21","","Without Adoption Event"
341,"2023-07-22","","Without Adoption Event"
342,"2023-08-09","","Without Adoption Event"
343,"2022-07-21","","Without Adoption Event"
344,"2021-12-23",8,"With Adoption Event"
345,"2021-01-25","","Without Adoption Event"
346,"2021-10-03","","Without Adoption Event"
347,"2023-07-16","","Without Adoption Event"
348,"2023-02-25",13,"With Adoption Event"
349,"2023-10-07","","Without Adoption Event"
350,"2020-11-21","","Without Adoption Event"
351,"2023-05-13",14,"With Adoption Event"
352,"2023-01-15","","Without Adoption Event"
353,"2019-10-24","","Without Adoption Event"
354,"2023-11-20",16,"With Adoption Event"
355,"2023-10-27","","Without Adoption Event"
356,"2023-11-11","","Without Adoption Event"
357,"2022-05-16","","Without Adoption Event"
358,"2023-07-11",15,"With Adoption Event"
359,"2023-12-31",16,"With Adoption Event"
360,"2022-11-03","","Without Adoption Event"
361,"2023-10-10","","Without Adoption Event"
362,"2022-04-26",10,"With Adoption Event"
363,"2021-05-23",6,"With Adoption Event"
364,"2021-01-11",5,"With Adoption Event"
365,"2023-06-18","","Without Adoption Event"
366,"2022-08-10",11,"With Adoption Event"
367,"2023-12-27","","Without Adoption Event"
368,"2023-07-27","","Without Adoption Event"
369,"2022-02-23","","Without Adoption Event"
370,"2022-06-29","","Without Adoption Event"
371,"2019-07-18","","Without Adoption Event"
372,"2023-12-02","","Without Adoption Event"
373,"2023-11-14","","Without Adoption Event"
374,"2021-08-27","","Without Adoption Event"
375,"2020-02-06",1,"With Adoption Event"
376,"2021-05-04","","Without Adoption Event"
377,"2021-12-22",8,"With Adoption Event"
378,"2022-07-18","","Without Adoption Event"
379,"2022-09-10","","Without Adoption Event"
380,"2022-12-21","","Without Adoption Event"
381,"2022-08-28","","Without Adoption Event"
382,"2021-10-24","","Without Adoption Event"
383,"2020-08-23","","Without Adoption Event"
384,"2023-03-22",14,"With Adoption Event"
385,"2022-09-11","","Without Adoption Event"
386,"2023-01-20","","Without Adoption Event"
387,"2023-11-23",16,"With Adoption Event"
388,"2020-12-26",4,"With Adoption Event"
389,"2023-06-18",15,"With Adoption Event"
390,"2022-02-12","","Without Adoption Event"
391,"2023-12-21","","Without Adoption Event"
392,"2022-10-09",12,"With Adoption Event"
393,"2022-05-29","","Without Adoption Event"
394,"2023-11-23","","Without Adoption Event"
395,"2023-02-26","","Without Adoption Event"
396,"2023-09-10",16,"With Adoption Event"
397,"2019-09-09","","Without Adoption Event"
398,"2023-10-09",16,"With Adoption Event"
399,"2023-12-02","","Without Adoption Event"
400,"2023-04-14","","Without Adoption Event"
401,"2022-10-05","","Without Adoption Event"
402,"2023-12-27","","Without Adoption Event"
403,"2022-10-27","","Without Adoption Event"
404,"2023-12-12","","Without Adoption Event"
405,"2022-10-28","","Without Adoption Event"
406,"2020-01-22","","Without Adoption Event"
407,"2019-06-02","","Without Adoption Event"
408,"2022-06-02","","Without Adoption Event"
409,"2023-12-19",16,"With Adoption Event"
410,"2019-05-29","","Without Adoption Event"
411,"2023-09-29",16,"With Adoption Event"
412,"2023-10-01","","Without Adoption Event"
413,"2023-12-27","","Without Adoption Event"
414,"2022-12-05","","Without Adoption Event"
415,"2023-11-12","","Without Adoption Event"
416,"2023-08-30","","Without Adoption Event"
417,"2018-02-24","","Without Adoption Event"
418,"2022-06-03",10,"With Adoption Event"
419,"2021-12-21","","Without Adoption Event"
420,"2023-02-18","","Without Adoption Event"
421,"2021-06-30",7,"With Adoption Event"
422,"2023-07-07",15,"With Adoption Event"
423,"2022-06-26","","Without Adoption Event"
424,"2023-12-07","","Without Adoption Event"
425,"2022-12-09",12,"With Adoption Event"
426,"2020-02-23","","Without Adoption Event"
427,"2023-10-15",16,"With Adoption Event"
428,"2022-06-03",10,"With Adoption Event"
429,"2023-06-16","","Without Adoption Event"
430,"2023-08-09","","Without Adoption Event"
431,"2023-08-17","","Without Adoption Event"
432,"2023-01-21","","Without Adoption Event"
433,"2023-05-23",14,"With Adoption Event"
434,"2023-10-27","","Without Adoption Event"
435,"2023-10-13",16,"With Adoption Event"
436,"2023-11-10","","Without Adoption Event"
437,"2021-07-07","","Without Adoption Event"
438,"2022-04-20",10,"With Adoption Event"
439,"2023-02-05","","Without Adoption Event"
440,"2021-09-25",8,"With Adoption Event"
441,"2023-08-25","","Without Adoption Event"
442,"2023-09-06","","Without Adoption Event"
443,"2022-06-26","","Without Adoption Event"
444,"2022-08-14","","Without Adoption Event"
445,"2022-07-23",11,"With Adoption Event"
446,"2022-11-12","","Without Adoption Event"
447,"2022-06-08","","Without Adoption Event"
448,"2023-02-21",13,"With Adoption Event"
449,"2023-08-17","","Without Adoption Event"
450,"2021-07-16","","Without Adoption Event"
451,"2023-04-28","","Without Adoption Event"
452,"2023-08-29",15,"With Adoption Event"
453,"2020-10-10","","Without Adoption Event"
454,"2023-03-28","","Without Adoption Event"
455,"2022-03-09",10,"With Adoption Event"
456,"2021-01-06",5,"With Adoption Event"
457,"2020-10-02","","Without Adoption Event"
458,"2022-05-05",10,"With Adoption Event"
459,"2022-02-02",9,"With Adoption Event"
460,"2020-04-26",2,"With Adoption Event"
461,"2023-04-11",14,"With Adoption Event"
462,"2020-12-21",4,"With Adoption Event"
463,"2020-09-08",4,"With Adoption Event"
464,"2023-10-30","","Without Adoption Event"
465,"2021-08-05","","Without Adoption Event"
466,"2020-11-22",4,"With Adoption Event"
467,"2021-11-18","","Without Adoption Event"
468,"2021-05-27","","Without Adoption Event"
469,"2022-09-01","","Without Adoption Event"
470,"2022-06-30","","Without Adoption Event"
471,"2023-06-20","","Without Adoption Event"
472,"2023-03-29",14,"With Adoption Event"
473,"2023-04-21","","Without Adoption Event"
474,"2023-06-19",15,"With Adoption Event"
475,"2023-08-15","","Without Adoption Event"
476,"2022-04-07",10,"With Adoption Event"
477,"2021-11-29",8,"With Adoption Event"
478,"2020-07-21","","Without Adoption Event"
479,"2022-02-03","","Without Adoption Event"
480,"2023-09-15",16,"With Adoption Event"
481,"2021-03-04",6,"With Adoption Event"
482,"2019-09-11","","Without Adoption Event"
483,"2020-04-03","","Without Adoption Event"
484,"2023-03-08","","Without Adoption Event"
485,"2022-10-27",12,"With Adoption Event"
486,"2022-03-03","","Without Adoption Event"
487,"2022-07-15",11,"With Adoption Event"
488,"2023-12-17","","Without Adoption Event"
489,"2022-11-27","","Without Adoption Event"
490,"2021-11-29","","Without Adoption Event"
491,"2021-11-07",8,"With Adoption Event"
492,"2022-06-14",11,"With Adoption Event"
493,"2023-07-07",15,"With Adoption Event"
494,"2023-11-30","","Without Adoption Event"
495,"2023-08-13",15,"With Adoption Event"
496,"2021-11-22",8,"With Adoption Event"
497,"2022-03-11","","Without Adoption Event"
498,"2019-10-19","","Without Adoption Event"
499,"2023-05-07",14,"With Adoption Event"
500,"2023-09-25",16,"With Adoption Event"
501,"2023-02-19","","Without Adoption Event"
502,"2023-05-31","","Without Adoption Event"
503,"2020-10-22","","Without Adoption Event"
504,"2021-07-31","","Without Adoption Event"
505,"2023-09-05","","Without Adoption Event"
506,"2022-11-05","","Without Adoption Event"
507,"2022-10-21","","Without Adoption Event"
508,"2019-03-29","","Without Adoption Event"
509,"2022-09-24","","Without Adoption Event"
510,"2021-11-18",8,"With Adoption Event"
511,"2023-02-16","","Without Adoption Event"
512,"2019-12-27","","Without Adoption Event"
513,"2021-12-26",8,"With Adoption Event"
514,"2022-10-26",12,"With Adoption Event"
515,"2023-01-28",13,"With Adoption Event"
516,"2020-04-15",2,"With Adoption Event"
517,"2023-10-02",16,"With Adoption Event"
518,"2022-06-20","","Without Adoption Event"
519,"2019-10-22","","Without Adoption Event"
520,"2023-08-28","","Without Adoption Event"
521,"2023-12-26",16,"With Adoption Event"
522,"2022-12-29",12,"With Adoption Event"
523,"2023-02-02","","Without Adoption Event"
524,"2023-07-10","","Without Adoption Event"
525,"2022-04-01","","Without Adoption Event"
